,compound_emoji
1786,0.0
1787,0.0
1788,-0.146
1789,0.0
1790,0.007
1791,0.22666666666666668
1792,0.0
1793,-0.093
1794,0.0
1795,0.221
1796,0.221
1797,0.221
1798,0.221
1799,0.221
1800,0.221
1801,0.746
1802,0.0
1803,0.0
1804,0.746
1805,0.0
1806,0.0
1807,0.13933333333333334
1808,0.221
1809,0.0
1810,0.0
1811,0.221
1812,0.221
1813,0.034666666666666665
1814,0.0
1815,0.746
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.746
1832,0.0
1833,0.0
1834,0.0
1835,0.381
1836,0.0
1837,0.22025000000000003
1838,0.1824285714285714
1839,0.21614285714285716
1840,0.1575
1841,0.22916666666666666
1842,0.3165
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.746
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,1.0
1868,0.375
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.07733333333333334
1874,0.1
1875,0.464
1876,0.289
1877,0.353
1878,0.317
1879,0.07733333333333334
1880,0.1
1881,0.464
1882,0.289
1883,0.353
1884,0.317
1885,0.0
1886,0.51
1887,0.61
1888,0.524
1889,0.0
1890,0.309
1891,0.0
1892,0.617
1893,0.221
1894,0.0
1895,0.221
1896,0.556
1897,0.0
1898,-0.122
1899,0.278
1900,0.659
1901,0.0
1902,0.512
1903,0.512
1904,0.476
1905,0.0
1906,0.0
1907,0.11766666666666666
1908,0.357
1909,0.357
1910,0.357
1911,0.357
1912,0.142
1913,0.357
1914,0.267
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.515
1921,0.49
1922,0.0
1923,-0.122
1924,0.712
1925,0.746
1926,0.0
1927,0.431
1928,0.0
1929,0.377
1930,0.0
1931,0.0
1932,0.0
1933,0.431
1934,0.0
1935,0.377
1936,0.0
1937,0.0
1938,0.06
1939,0.063
1940,0.252
1941,0.34775
1942,0.0
1943,0.20933333333333334
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.221
1969,0.221
1970,-0.6
1971,0.373
1972,0.21933333333333335
1973,0.0
1974,-0.068
1975,0.043
1976,0.0
1977,0.476
1978,-0.1585
1979,0.474
1980,0.0
1981,0.099
1982,0.713
1983,0.45
1984,0.009
1985,0.493
1986,0.0
1987,0.099
1988,0.713
1989,0.45
1990,0.009
1991,0.493
1992,0.28225
1993,0.14
1994,0.6185
1995,0.0
1996,0.1105
1997,0.1145
1998,0.221
1999,-0.375
2000,0.742
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.005999999999999999
2012,0.08325
2013,0.06
2014,0.0
2015,0.06599999999999999
2016,0.0
2017,0.018
2018,0.0
2019,0.317
2020,0.0
2021,0.0
2022,0.0
2023,0.38799999999999996
2024,0.0
2025,0.51
2026,0.746
2027,0.221
2028,0.0
2029,0.0
